i,j,t,g,a_ijtg
1,20,2,moderado,10.0
1,20,3,moderado,11.0
1,20,4,leve,31.0
1,20,4,moderado,11.0
1,20,5,leve,30.5
1,20,5,moderado,4.0
1,20,6,leve,30.5
1,20,6,moderado,4.0
1,20,7,leve,31.0
1,20,7,moderado,3.0
2,3,4,leve,37.0
2,3,4,moderado,13.0
2,3,5,leve,37.0
2,3,5,moderado,4.0
2,3,6,leve,15.0
2,3,6,moderado,5.0
2,3,7,leve,12.0
2,3,7,moderado,4.0
2,4,4,leve,9.0
2,4,4,moderado,13.0
2,4,5,leve,37.0
2,4,5,moderado,13.0
3,21,3,moderado,11.0
3,21,4,leve,30.0
3,21,5,leve,30.0
3,21,6,moderado,4.0
3,21,7,leve,10.0
3,21,7,moderado,3.0
3,22,3,moderado,4.0
3,22,5,leve,5.0
3,22,6,leve,30.0
3,45,3,moderado,11.0
3,45,4,moderado,5.0
3,45,5,leve,16.0
3,45,5,moderado,4.0
4,57,4,moderado,7.0
4,57,5,leve,24.0
4,57,5,moderado,4.0
4,57,6,leve,3.0
4,57,6,moderado,3.0
4,57,7,leve,24.0
4,57,7,moderado,3.0
4,58,2,moderado,9.0
4,58,3,moderado,9.0
4,58,4,leve,24.0
4,58,5,leve,24.0
5,20,2,moderado,7.0
5,20,3,moderado,7.0
5,20,4,moderado,7.0
5,20,7,leve,1.0
5,20,7,moderado,2.0
5,53,5,leve,20.0
5,53,5,moderado,3.0
5,53,6,leve,20.0
5,53,6,moderado,3.0
5,53,7,leve,20.0
5,62,5,leve,20.0
6,80,4,leve,35.0
6,80,4,moderado,12.0
6,80,5,leve,35.0
6,80,5,moderado,12.0
6,80,6,leve,35.0
6,80,6,moderado,12.0
6,80,7,leve,35.0
6,80,7,moderado,12.0
7,21,3,moderado,7.0
7,21,4,leve,0.5
7,21,4,moderado,7.0
7,21,5,leve,21.0
7,21,5,moderado,3.0
7,21,6,leve,21.0
7,21,6,moderado,3.0
7,21,7,leve,18.5
7,21,7,moderado,2.0
7,22,3,moderado,7.0
7,22,5,leve,21.0
8,15,7,moderado,4.0
8,16,6,leve,42.0
8,16,7,leve,39.0
8,76,1,moderado,6.0
8,78,2,moderado,15.0
8,78,3,moderado,15.0
8,78,4,leve,28.0
8,78,4,moderado,7.0
8,78,5,leve,17.0
8,78,5,moderado,6.0
8,78,6,leve,42.0
8,78,6,moderado,6.0
9,20,2,moderado,9.0
9,20,3,moderado,9.0
9,20,4,leve,27.0
9,20,4,moderado,9.0
9,20,5,leve,27.0
9,20,5,moderado,4.0
9,20,6,leve,27.0
9,20,6,moderado,4.0
9,20,7,leve,27.0
9,20,7,moderado,3.0
10,20,2,moderado,1.0
10,20,3,moderado,7.0
10,20,4,moderado,7.0
10,20,5,leve,12.5
10,20,7,moderado,2.0
10,53,5,leve,21.0
10,53,5,moderado,3.0
10,53,6,leve,21.0
10,53,6,moderado,3.0
10,53,7,leve,8.5
10,62,4,moderado,7.0
10,62,5,leve,21.0
11,21,3,moderado,10.0
11,21,4,moderado,5.0
11,21,5,leve,29.0
11,21,6,moderado,4.0
11,21,7,leve,9.0
11,21,7,moderado,4.0
11,22,3,moderado,4.0
11,22,5,leve,29.0
11,22,6,leve,12.0
11,45,3,moderado,10.0
11,45,4,leve,8.0
11,45,5,leve,29.0
11,45,5,moderado,4.0
12,21,5,leve,37.0
12,21,6,leve,26.0
12,21,7,leve,12.0
12,22,6,leve,37.0
12,22,6,moderado,5.0
12,27,2,moderado,13.0
12,28,6,leve,37.0
12,28,7,moderado,4.0
12,45,3,moderado,13.0
12,45,4,moderado,13.0
12,45,5,moderado,5.0
13,3,4,leve,13.0
13,3,4,moderado,15.0
13,3,5,leve,44.0
13,3,5,moderado,11.6
13,3,6,leve,32.5
13,3,6,moderado,6.0
13,3,7,leve,14.0
13,3,7,moderado,5.0
13,4,4,leve,41.0
13,4,4,moderado,15.0
13,4,5,leve,29.5
13,4,5,moderado,8.4
14,27,2,moderado,27.0
14,28,6,leve,53.0
14,28,6,moderado,11.0
14,28,7,moderado,9.0
14,45,3,moderado,27.0
14,45,4,leve,77.0
14,45,4,moderado,24.0
14,45,5,leve,77.0
14,45,5,moderado,11.0
14,76,6,leve,77.0
14,76,7,leve,25.0
15,21,3,moderado,14.0
15,21,4,moderado,12.0
15,21,5,leve,38.0
15,21,6,leve,27.0
15,21,6,moderado,5.0
15,21,7,leve,12.0
15,21,7,moderado,4.0
15,22,3,moderado,14.0
15,22,5,leve,38.0
15,22,5,moderado,5.0
15,22,6,leve,38.0
16,57,4,leve,107.0
16,57,5,leve,107.0
16,57,6,leve,52.0
16,57,6,moderado,15.0
16,57,7,leve,54.0
16,57,7,moderado,12.0
16,58,2,moderado,37.0
16,58,3,moderado,37.0
16,58,4,moderado,34.0
16,58,5,leve,107.0
16,58,5,moderado,15.0
17,21,3,moderado,11.0
17,21,4,leve,32.0
17,21,4,moderado,11.0
17,21,5,leve,32.0
17,21,6,leve,20.0
17,21,6,moderado,4.0
17,21,7,leve,10.0
17,21,7,moderado,4.0
17,22,3,moderado,10.0
17,22,4,leve,3.0
17,22,5,leve,32.0
17,22,5,moderado,5.0
18,27,2,moderado,6.0
18,28,6,leve,28.0
18,28,6,moderado,4.0
18,28,7,leve,9.0
18,28,7,moderado,3.0
18,45,3,moderado,10.0
18,45,5,leve,18.0
18,45,5,moderado,4.0
18,76,2,moderado,8.0
18,76,5,leve,28.0
18,76,6,leve,28.0
18,84,4,moderado,4.0
19,44,3,moderado,4.0
19,44,4,moderado,3.0
19,44,5,leve,11.0
19,44,5,moderado,2.0
19,57,4,leve,11.0
19,57,6,leve,11.0
19,57,6,moderado,1.0
19,57,7,leve,11.0
19,57,7,moderado,1.0
19,58,2,moderado,4.0
20,70,4,leve,8.0
20,70,4,moderado,3.0
20,70,5,leve,8.0
20,70,5,moderado,3.0
20,70,6,leve,8.0
20,70,6,moderado,3.0
20,70,7,leve,8.0
20,70,7,moderado,2.0
21,39,5,leve,18.0
21,39,5,moderado,6.0
21,39,6,leve,18.0
21,39,6,moderado,6.0
21,39,7,leve,18.0
21,39,7,moderado,6.0
22,70,4,leve,29.0
22,70,4,moderado,10.0
22,70,5,leve,29.0
22,70,5,moderado,4.0
22,70,6,leve,29.0
22,70,6,moderado,4.0
22,70,7,leve,9.0
22,70,7,moderado,4.0
22,78,2,moderado,8.0
22,78,3,moderado,8.0
22,78,4,moderado,3.0
22,78,5,leve,21.0
23,44,3,moderado,6.0
23,44,4,moderado,1.8
23,44,5,moderado,3.0
23,57,5,leve,19.0
23,57,6,leve,19.0
23,57,6,moderado,3.0
23,57,7,leve,18.0
23,57,7,moderado,2.0
23,58,2,moderado,3.0
23,58,3,moderado,6.0
23,58,4,moderado,1.2
23,58,5,leve,19.0
24,21,3,moderado,31.0
24,21,4,moderado,48.0
24,21,5,moderado,6.2
24,21,6,leve,66.0
24,22,3,moderado,21.0
24,22,4,leve,147.0
24,22,6,leve,20.5
24,28,6,leve,144.5
24,28,6,moderado,21.0
24,28,7,leve,47.0
24,28,7,moderado,16.0
24,45,3,moderado,49.0
24,45,4,leve,110.0
24,45,5,leve,53.0
24,45,5,moderado,14.8
25,16,5,moderado,29.6
25,16,6,leve,251.0
25,16,7,leve,256.0
25,16,7,moderado,28.0
25,27,1,moderado,15.0
25,27,2,moderado,38.0
25,27,3,moderado,84.0
25,28,5,moderado,6.4
25,28,6,leve,180.0
25,28,6,moderado,36.0
25,28,7,leve,229.0
25,63,7,leve,57.0
25,76,3,moderado,36.0
25,84,2,moderado,36.0
25,84,3,moderado,7.0
25,84,4,leve,50.0
25,84,4,moderado,43.0
26,15,5,moderado,5.0
26,15,7,leve,37.0
26,15,7,moderado,4.0
26,78,2,moderado,13.0
26,78,3,moderado,13.0
26,78,4,leve,37.0
26,78,4,moderado,12.0
26,78,5,leve,37.0
26,78,6,leve,20.5
26,78,6,moderado,5.0
26,78,7,leve,16.5
27,57,4,moderado,5.2
27,57,5,leve,18.0
27,57,5,moderado,3.0
27,57,6,leve,17.0
27,57,6,moderado,2.0
27,57,7,leve,18.0
27,57,7,moderado,2.0
27,58,2,moderado,6.0
27,58,3,moderado,6.0
27,58,4,moderado,0.8
27,58,5,leve,18.0
28,20,2,moderado,30.0
28,20,3,moderado,46.0
28,20,4,leve,9.0
28,20,4,moderado,17.0
28,53,5,leve,141.0
28,53,5,moderado,13.2
28,53,6,leve,141.0
28,53,6,moderado,13.2
28,53,7,leve,70.5
28,53,7,moderado,16.0
28,62,4,leve,10.0
28,62,4,moderado,49.0
28,62,5,leve,59.5
28,62,5,moderado,6.8
28,62,6,leve,133.0
28,62,6,moderado,6.8
29,57,4,moderado,9.0
29,57,5,leve,30.0
29,57,5,moderado,4.0
29,57,6,leve,1.0
29,57,6,moderado,4.0
29,57,7,leve,30.0
29,57,7,moderado,3.0
29,58,2,moderado,11.0
29,58,3,moderado,11.0
29,58,4,leve,30.0
29,58,5,leve,30.0
30,44,3,moderado,30.0
30,44,4,leve,0.5
30,44,4,moderado,31.0
30,44,5,leve,66.5
30,57,4,leve,126.0
30,57,5,leve,40.5
30,57,5,moderado,13.4
30,57,6,leve,104.5
30,57,6,moderado,18.0
30,57,7,leve,40.0
30,57,7,moderado,14.0
30,58,2,moderado,30.0
30,58,3,moderado,36.0
30,58,4,leve,126.0
30,58,5,moderado,4.6
31,44,3,moderado,8.0
31,57,4,leve,23.0
31,57,4,moderado,4.0
31,57,5,leve,23.0
31,57,5,moderado,3.0
31,57,6,moderado,3.0
31,57,7,leve,22.0
31,57,7,moderado,3.0
31,58,2,moderado,8.0
31,58,3,moderado,3.0
31,58,5,leve,23.0
32,20,2,moderado,3.0
32,20,3,moderado,4.0
32,20,4,leve,5.5
32,20,4,moderado,4.0
32,20,6,leve,10.0
32,20,6,moderado,1.0
32,20,7,leve,3.5
32,20,7,moderado,1.0
32,53,5,leve,10.0
32,53,6,leve,10.0
32,62,5,moderado,1.0
33,15,5,leve,47.5
33,15,5,moderado,60.0
33,15,6,leve,210.0
33,15,7,moderado,20.8
33,16,6,moderado,60.0
33,16,7,leve,58.5
33,63,5,leve,390.0
33,63,6,leve,330.0
33,63,7,leve,243.0
33,73,1,moderado,36.0
33,73,2,moderado,36.0
33,73,3,moderado,36.0
33,74,1,moderado,48.0
33,74,2,moderado,48.0
33,74,3,moderado,84.0
33,83,4,moderado,143.0
33,83,7,leve,426.0
33,83,7,moderado,27.2
34,27,1,moderado,69.0
34,28,5,leve,156.0
34,28,5,moderado,3.2
34,28,6,moderado,27.0
34,28,7,moderado,22.0
34,66,2,moderado,55.0
34,76,5,moderado,24.8
34,76,6,leve,196.0
34,76,7,leve,95.0
34,83,7,leve,196.0
34,84,3,moderado,41.0
34,84,4,leve,140.0
34,84,4,moderado,33.0
35,15,4,leve,210.0
35,15,4,moderado,48.0
35,15,7,leve,501.0
35,15,7,moderado,56.0
35,16,5,leve,501.0
35,16,5,moderado,70.0
35,16,6,leve,341.0
35,16,6,moderado,58.4
35,66,1,moderado,132.0
35,66,2,moderado,77.0
35,66,3,moderado,156.0
35,76,1,moderado,30.0
35,76,2,moderado,28.0
35,76,6,moderado,11.6
35,83,4,moderado,37.0
35,83,5,leve,90.0
35,83,6,leve,360.0
36,70,4,leve,12.0
36,70,4,moderado,4.0
36,70,5,leve,12.0
36,70,5,moderado,4.0
36,70,6,leve,12.0
36,70,6,moderado,4.0
36,70,7,leve,11.0
36,70,7,moderado,4.0
